Movie_id,Title,Rating,TotalVotes,MetaCritic,Budget,Runtime,CVotesMale,CVotesFemale,Domestic,Worldwide,genre
42419,Tangled (2010),7.8,321593,71,260000000.0,,166088,97213,200821936,591794936.0,"Animation, Adventure, Comedy"
42727,The Fault in Our Stars (2014),7.8,276272,69,12000000.0,126 min,128951,83384,124872350,307166834.0,"Drama, Romance, "
42732,Inside Out (2015),8.2,430229,94,175000000.0,95 min,244433,79081,356461711,857611174.0,"Animation, Adventure, Comedy"
43350,Nebraska (2013),7.7,97059,86,12000000.0,115 min,70069,13162,17654912,27682872.0,"Adventure, Comedy, Drama"
43358,Black Swan (2010),8.0,587893,79,13000000.0,108 min,356707,143077,106954678,329398046.0,"Drama, Thriller, "
43526,Detachment (2011),7.7,62352,,,,40924,13291,72689,72689.0,"Drama, , "
44160,The Fighter (2010),7.8,292823,79,25000000.0,116 min,220445,31021,93617009,129190869.0,"Action, Biography, Drama"
44253,Rogue One (2016),7.9,349210,65,200000000.0,133 min,229114,32521,532177324,1056057273.0,"Action, Adventure, Sci-Fi"
44316,True Grit (2010),7.6,257670,80,38000000.0,110 min,197105,27125,171243005,252276927.0,"Adventure, Drama, Western"
44738,Hell or High Water (2016),7.7,125026,88,12000000.0,102 min,88398,10427,27007844,37879877.0,"Crime, Drama, Thriller"
45231,Kick-Ass (2010),7.7,461860,66,30000000.0,117 min,336585,57638,48071303,96188903.0,"Action, Comedy, "
45458,The Imitation Game (2014),8.1,540489,73,14000000.0,114 min,328283,92724,91125683,233555708.0,"Biography, Drama, Thriller"
46824,Inception (2010),8.8,1609713,74,160000000.0,148 min,1044318,239796,292576195,825532764.0,"Action, Adventure, Sci-Fi"
46900,Interstellar (2014),8.6,1075163,74,165000000.0,169 min,682280,128771,188020017,675120017.0,"Adventure, Drama, Sci-Fi"
47074,The Lego Movie (2014),7.8,271515,83,60000000.0,100 min,180122,37351,257760692,469160692.0,"Animation, Action, Adventure"
47323,Skyfall (2012),7.8,552367,81,200000000.0,143 min,391158,65929,304360277,1108561013.0,"Action, Adventure, Thriller"
47403,Hacksaw Ridge (2016),8.2,244314,71,40000000.0,139 min,156398,26285,67209615,175302354.0,"Biography, Drama, History"
47579,Kingsman: The Secret Service (2014),7.7,450500,,81000000.0,129 min,285835,64396,128261724,414351546.0,"Action, Adventure, Comedy"
47616,Lion (2016),8.1,123032,69,12000000.0,118 min,68921,24977,51728731,140302754.0,"Biography, Drama, "
48102,How to Train Your Dragon (2010),8.1,532296,74,165000000.0,,327837,105104,217581231,494878759.0,"Animation, Action, Adventure"
48554,Moneyball (2011),7.6,300199,87,50000000.0,133 min,222663,34888,75605492,110206216.0,"Biography, Drama, Sport"
48626,Captain Phillips (2013),7.8,350818,83,55000000.0,134 min,247889,41602,107100855,218791811.0,"Biography, Drama, Thriller"
49473,About Time (2013),7.8,225412,,12000000.0,123 min,126718,58098,15322921,87100449.0,"Comedy, Drama, Fantasy"
49518,Flipped (2010),7.7,66461,,14000000.0,,33714,22540,1755212,1755212.0,"Comedy, Drama, Romance"
49590,Captain America: Civil War (2016),7.9,431555,75,250000000.0,147 min,264239,43818,408084349,1153304495.0,"Action, Adventure, Sci-Fi"
